user_id,master_id,rating
PabloPlato,115745,5
PabloPlato,413219,5
PabloPlato,413219,5
PabloPlato,413219,5
PabloPlato,413219,5
PabloPlato,413219,5
PabloPlato,148302,5
PabloPlato,148302,5
PabloPlato,406702,5
PabloPlato,18500,5
PabloPlato,142447,5
PabloPlato,90322,5
PabloPlato,20832,5
PabloPlato,122483,5
PabloPlato,193582,5
PabloPlato,39772,5
PabloPlato,18021,5
PabloPlato,141329,5
PabloPlato,26274,5
PabloPlato,126582,5
PabloPlato,46613,5
PabloPlato,37942,5
PabloPlato,194458,5
PabloPlato,28759,5
PabloPlato,6551,5
PabloPlato,89727,5
PabloPlato,25796,5
PabloPlato,25794,5
PabloPlato,138436,5
PabloPlato,58956,5
PabloPlato,106445,5
PabloPlato,101181,5
PabloPlato,245589,5
PabloPlato,37191,5
PabloPlato,225659,5
PabloPlato,119044,5
PabloPlato,122905,5
PabloPlato,428749,5
PabloPlato,20121,5
PabloPlato,2598,4
PabloPlato,66584,4
PabloPlato,45184,4
PabloPlato,38806,4
PabloPlato,35903,4
PabloPlato,46330,4
PabloPlato,17591,4
PabloPlato,874144,4
PabloPlato,292799,4
PabloPlato,28418,4
PabloPlato,29433,4
PabloPlato,212973,4
PabloPlato,466980,4
PabloPlato,54621,4
PabloPlato,30485,4
PabloPlato,3983,4
PabloPlato,19038,4
PabloPlato,19038,4
PabloPlato,52383,4
PabloPlato,164983,4
PabloPlato,838618,4
PabloPlato,1253356,4
PabloPlato,11409,4
PabloPlato,90206,4
PabloPlato,28268,4
PabloPlato,739045,4
PabloPlato,4160,4
PabloPlato,3683,4
PabloPlato,412319,4
PabloPlato,2085,4
PabloPlato,546407,4
PabloPlato,2546,4
PabloPlato,155386,4
PabloPlato,38060,4
PabloPlato,136282,4
PabloPlato,112271,4
PabloPlato,229175,4
PabloPlato,26126,4
PabloPlato,118642,4
PabloPlato,700188,4
PabloPlato,946116,4
PabloPlato,413326,4
PabloPlato,47332,4
PabloPlato,98903,4
PabloPlato,115320,4
PabloPlato,48869,4
PabloPlato,80232,4
PabloPlato,144364,4
PabloPlato,128268,4
PabloPlato,259347,4
PabloPlato,259347,4
PabloPlato,255309,4
PabloPlato,2614,4
PabloPlato,215719,4
PabloPlato,65676,4
PabloPlato,55055,4
PabloPlato,41952,3
PabloPlato,39519,3
PabloPlato,19007,3
PabloPlato,58951,3
PabloPlato,346504,3
PabloPlato,46896,3
PabloPlato,5055,3
PabloPlato,28394,3
PabloPlato,3701,3
PabloPlato,537930,3
PabloPlato,12296,2
PabloPlato,5603,2
PabloPlato,97138,1
velove,124609,5
velove,1163349,5
